epoch,train_F_mse,holdout_F_mse,train_chi_mae,holdout_chi_mae,total_batch_loss,batch_F_loss,batch_chi_loss,batch_Cv_loss
1.000000000000000000e+00,7.266627997159957886e-02,7.405479997396469116e-02,4.347028136253356934e-01,4.480711519718170166e-01,1.605887413024902344e-01,6.295770406723022461e-02,1.216939687728881836e+00,5.517211556434631348e-02
5.000000000000000000e+01,1.607136218808591366e-04,2.075152588076889515e-04,7.810516655445098877e-02,9.563284367322921753e-02,1.236192416399717331e-03,1.415345177520066500e-04,7.753374986350536346e-03,9.487760066986083984e-02
1.000000000000000000e+02,6.650244176853448153e-05,6.318242230918258429e-05,4.404475539922714233e-02,5.779837444424629211e-02,5.434450577013194561e-04,5.436594801722094417e-05,2.738364040851593018e-03,5.400199815630912781e-02
1.500000000000000000e+02,3.138863394269719720e-05,3.807241228059865534e-05,2.701498940587043762e-02,4.200913757085800171e-02,2.290971606271341443e-04,2.608648719615302980e-05,1.211545197293162346e-03,2.121741138398647308e-02
2.000000000000000000e+02,2.156690970878116786e-05,3.536859730957075953e-05,2.050438150763511658e-02,3.214049711823463440e-02,1.597756927367299795e-04,1.817581323848571628e-05,9.183814981952309608e-04,1.362587325274944305e-02
2.500000000000000000e+02,1.761502244335133582e-05,2.988901542266830802e-05,1.940284110605716705e-02,2.939428761601448059e-02,1.277340634260326624e-04,1.455887650081422180e-05,7.813434349372982979e-04,1.013354212045669556e-02
3.000000000000000000e+02,1.536578747618477792e-05,2.489542566763702780e-05,1.823438145220279694e-02,2.644726261496543884e-02,1.142989058280363679e-04,1.184652319352608174e-05,6.582107162103056908e-04,9.959105402231216431e-03
3.500000000000000000e+02,1.288833482249174267e-05,1.934339888975955546e-05,1.734604686498641968e-02,2.634348720312118530e-02,1.022046781145036221e-04,9.775312719284556806e-06,6.461740122176706791e-04,8.147088810801506042e-03
4.000000000000000000e+02,1.108894957724260166e-05,1.583363518875557929e-05,1.690123043954372406e-02,2.565479464828968048e-02,9.401261195307597518e-05,9.553641575621441007e-06,5.960639100521802902e-04,7.354771718382835388e-03
4.500000000000000000e+02,9.798256542126182467e-06,1.468652772018685937e-05,1.659335382282733917e-02,2.374196611344814301e-02,9.744004637468606234e-05,8.226377758546732366e-06,5.961423739790916443e-04,8.304456248879432678e-03
5.000000000000000000e+02,8.757708201301284134e-06,1.224079096573404968e-05,1.637571491301059723e-02,2.356418594717979431e-02,9.245834371540695429e-05,7.768348950776271522e-06,6.104138446971774101e-04,7.171378936618566513e-03
5.500000000000000000e+02,8.054208592511713505e-06,1.070047528628492728e-05,1.605003513395786285e-02,2.340421080589294434e-02,7.869316323194652796e-05,6.837311048002447933e-06,5.174287362024188042e-04,6.092311348766088486e-03
6.000000000000000000e+02,7.381688192253932357e-06,9.556449185765814036e-06,1.602132245898246765e-02,2.310616523027420044e-02,7.672516221646219492e-05,7.340380761888809502e-06,5.134491366334259510e-04,5.661770235747098923e-03
6.500000000000000000e+02,6.870472589071141556e-06,8.788579179963562638e-06,1.602049916982650757e-02,2.326375059783458710e-02,9.078273433260619640e-05,5.678836714650969952e-06,6.000845460221171379e-04,7.419426925480365753e-03
7.000000000000000000e+02,6.608977400901494548e-06,8.887038347893394530e-06,1.610494963824748993e-02,2.338347397744655609e-02,7.649893086636438966e-05,4.881965651293285191e-06,5.049480823799967766e-04,6.244223099201917648e-03
7.500000000000000000e+02,6.371381459757685661e-06,8.738137694308534265e-06,1.591318100690841675e-02,2.354167774319648743e-02,7.237759564304724336e-05,5.129125383973587304e-06,4.574774065986275673e-04,6.130056455731391907e-03
8.000000000000000000e+02,5.923527623963309452e-06,8.383298336411826313e-06,1.601826958358287811e-02,2.326411381363868713e-02,7.255461241584271193e-05,4.482826170715270564e-06,5.058202659711241722e-04,5.521233193576335907e-03
8.500000000000000000e+02,5.702666840079473332e-06,7.846845619496889412e-06,1.586835086345672607e-02,2.334147505462169647e-02,8.107976464089006186e-05,4.895247911917977035e-06,5.491070915013551712e-04,6.451189517974853516e-03
9.000000000000000000e+02,5.831338512507500127e-06,8.470894499623682350e-06,1.585705019533634186e-02,2.267119102180004120e-02,9.345112630398944020e-05,7.118877874745521694e-06,7.107215351425111294e-04,5.894905887544155121e-03
