epoch,train_F_mse,holdout_F_mse,train_chi_mae,holdout_chi_mae,total_batch_loss,batch_F_loss,batch_chi_loss,batch_Cv_loss,batch_guardrail_loss
1.000000000000000000e+00,8.487383276224136353e-02,8.420998603105545044e-02,4.229218065738677979e-01,4.260807633399963379e-01,1.023001521825790405e-01,7.926380634307861328e-02,5.628130435943603516e-01,1.309542655944824219e-01,0.000000000000000000e+00
5.000000000000000000e+01,2.789441496133804321e-04,1.691704237600788474e-04,6.535899639129638672e-02,6.796748191118240356e-02,9.984581265598535538e-04,3.061126335524022579e-04,8.889945223927497864e-03,8.399319648742675781e-02,3.875164111377671361e-05
1.000000000000000000e+02,5.371043516788631678e-05,7.700159767409786582e-05,3.839183971285820007e-02,4.359348118305206299e-02,2.498241956345736980e-04,4.187657032161951065e-05,2.229518722742795944e-03,2.936149202287197113e-02,6.604468944715335965e-05
1.500000000000000000e+02,2.844312257366254926e-05,5.473380588227882981e-05,2.809960208833217621e-02,3.482358902692794800e-02,1.684797171037644148e-04,2.501792550901882350e-05,1.203585299663245678e-03,2.255253121256828308e-02,2.554129750933498144e-04
2.000000000000000000e+02,2.236659383925143629e-05,4.508405618253163993e-05,2.220086753368377686e-02,2.732603624463081360e-02,1.439571788068860769e-04,1.920526665344368666e-05,1.172737451270222664e-03,1.941321045160293579e-02,9.478455467615276575e-06
2.500000000000000000e+02,1.744338987919036299e-05,3.536080475896596909e-05,2.035654522478580475e-02,2.412842400372028351e-02,1.232450886163860559e-04,1.563937803439330310e-05,9.708503494039177895e-04,1.703345216810703278e-02,3.189414928783662617e-05
3.000000000000000000e+02,1.398144468112150207e-05,2.622278225317131728e-05,1.949202828109264374e-02,2.250225096940994263e-02,1.140355525421909988e-04,1.125613016483839601e-05,8.550620987080037594e-04,1.656192168593406677e-02,1.164625791716389358e-04
3.500000000000000000e+02,1.102021542465081438e-05,2.085772212012670934e-05,1.874666661024093628e-02,2.127817273139953613e-02,1.062489682226441801e-04,9.444031093153171241e-06,9.943657787516713142e-04,1.415595598518848419e-02,2.032440897892229259e-05
4.000000000000000000e+02,8.889882337825838476e-06,1.663371403992641717e-05,1.816488057374954224e-02,2.066997811198234558e-02,9.829005284700542688e-05,8.160999641404487193e-06,9.617015602998435497e-04,1.289727911353111267e-02,3.593619112507440150e-06
4.500000000000000000e+02,7.387305686279432848e-06,1.382880509481765330e-05,1.744921505451202393e-02,2.008242905139923096e-02,9.819183469517156482e-05,6.488176495622610673e-06,8.879754459485411644e-04,1.399214193224906921e-02,1.080374750017654151e-05
5.000000000000000000e+02,6.249482794373761863e-06,1.233034618053352460e-05,1.690736226737499237e-02,1.960364915430545807e-02,8.105556480586528778e-05,5.591651188296964392e-06,8.421972743235528469e-04,1.036507263779640198e-02,1.578655428602360189e-05
