epoch,train_F_mse,holdout_F_mse,train_chi_mae,holdout_chi_mae,total_batch_loss,batch_F_loss,batch_chi_loss,batch_Cv_loss,batch_S_loss,batch_M_loss,batch_guardrail_loss
1.000000000000000000e+00,8.707898855209350586e-02,8.586384356021881104e-02,3.939797282218933105e-01,4.020719230175018311e-01,1.273396611213684082e-01,9.366005659103393555e-02,5.246493816375732422e-01,1.224099993705749512e-01,8.778196573257446289e-02,1.057951450347900391e+00,6.096006836742162704e-04
5.000000000000000000e+01,4.081802326254546642e-04,5.180894513614475727e-04,1.057172790169715881e-01,1.111003011465072632e-01,2.128971973434090614e-03,3.274070913903415203e-04,2.577353641390800476e-02,4.628756269812583923e-02,2.662723511457443237e-02,4.137848969548940659e-03,4.857820385950617492e-06
1.000000000000000000e+02,3.273290712968446314e-05,4.695137249655090272e-05,6.067437306046485901e-02,6.456092000007629395e-02,6.611482240259647369e-04,2.810223668348044157e-05,1.002835668623447418e-02,1.361400634050369263e-02,9.249942377209663391e-03,3.272232715971767902e-04,0.000000000000000000e+00
1.500000000000000000e+02,1.684139715507626534e-05,3.337832458782941103e-05,4.770744591951370239e-02,5.128322169184684753e-02,5.100166890770196915e-04,1.244970189873129129e-05,5.539418198168277740e-03,1.578193157911300659e-02,1.156974025070667267e-02,2.473540371283888817e-04,0.000000000000000000e+00
2.000000000000000000e+02,1.078823515854310244e-05,1.794981653802096844e-05,4.126626998186111450e-02,4.451656341552734375e-02,4.497207701206207275e-04,8.954091754276305437e-06,4.715727176517248154e-03,1.506101619452238083e-02,9.992661885917186737e-03,1.600813702680170536e-04,0.000000000000000000e+00
2.500000000000000000e+02,7.757393177598714828e-06,1.169644019682891667e-05,3.646506741642951965e-02,3.966481983661651611e-02,3.873197420034557581e-04,6.249583293538307771e-06,3.967588301748037338e-03,1.387224905192852020e-02,8.186984807252883911e-03,1.774327683961018920e-04,0.000000000000000000e+00
3.000000000000000000e+02,6.608501280425116420e-06,1.055700886354316026e-05,3.361705318093299866e-02,3.674256429076194763e-02,3.568307147361338139e-04,5.401138878369238228e-06,3.425554372370243073e-03,1.158328168094158173e-02,9.774634614586830139e-03,8.282256021630018950e-05,0.000000000000000000e+00
3.500000000000000000e+02,8.546117896912619472e-06,8.158608579833526164e-06,2.932879142463207245e-02,3.235596045851707458e-02,3.425195463933050632e-04,5.116938609717180952e-06,2.943195402622222900e-03,1.404297258704900742e-02,7.608120795339345932e-03,9.024701284943148494e-05,1.130698874476365745e-04
4.000000000000000000e+02,5.784099357697414234e-06,9.213077646563760936e-06,2.770808897912502289e-02,3.124019317328929901e-02,2.613252436276525259e-04,4.368293957668356597e-06,2.472603693604469299e-03,1.107425987720489502e-02,4.652598872780799866e-03,7.842216291464865208e-05,0.000000000000000000e+00
4.500000000000000000e+02,5.184056590223917738e-06,6.911266154929762706e-06,2.582037076354026794e-02,2.944240905344486237e-02,2.870667085517197847e-04,4.039290615764912218e-06,2.255557803437113762e-03,1.287362352013587952e-02,6.071593612432479858e-03,7.937422196846455336e-05,1.279600837733596563e-04
5.000000000000000000e+02,4.547384833131218329e-06,7.587499567307531834e-06,2.433604933321475983e-02,2.889293432235717773e-02,2.835419145412743092e-04,5.502760359377134591e-06,2.477345289662480354e-03,1.230190694332122803e-02,5.542334169149398804e-03,5.029360181652009487e-05,0.000000000000000000e+00
5.500000000000000000e+02,4.993656148144509643e-06,7.810982424416579306e-06,2.447253651916980743e-02,2.947928383946418762e-02,2.695295843295753002e-04,4.714208444056566805e-06,2.193170599639415741e-03,1.310665719211101532e-02,4.507534671574831009e-03,6.455515540437772870e-05,1.505356885900255293e-05
6.000000000000000000e+02,4.619718765752622858e-06,8.331740900757722557e-06,2.388719841837882996e-02,2.931762672960758209e-02,2.020036481553688645e-04,4.444257683644536883e-06,1.821019919589161873e-03,8.632271550595760345e-03,3.612603060901165009e-03,9.932948159985244274e-05,6.382763967849314213e-05
6.500000000000000000e+02,4.292946869099978358e-06,7.940387149574235082e-06,2.351791597902774811e-02,2.957310527563095093e-02,2.195582201238721609e-04,3.150979637212003581e-06,1.892284024506807327e-03,1.070837117731571198e-02,3.282470628619194031e-03,6.452928937505930662e-05,8.109151167445816100e-06
7.000000000000000000e+02,3.040963520106743090e-06,5.479144419950898737e-06,2.354893460869789124e-02,2.954582124948501587e-02,2.037585072685033083e-04,2.547779786254977807e-06,1.744913286529481411e-03,9.493948891758918762e-03,3.556214971467852592e-03,8.072343189269304276e-05,5.266139851300977170e-06
7.500000000000000000e+02,4.380706286610802636e-06,6.734292583132628351e-06,2.336411364376544952e-02,2.959112823009490967e-02,1.949081488419324160e-04,4.233186245983233675e-06,1.813663169741630554e-03,8.147806860506534576e-03,3.613745560869574547e-03,5.129184501129202545e-05,0.000000000000000000e+00
8.000000000000000000e+02,2.990543634950881824e-06,6.258811481529846787e-06,2.262442372739315033e-02,2.922172471880912781e-02,2.332263538846746087e-04,2.229454366897698492e-06,1.489936374127864838e-03,1.391340699046850204e-02,3.114699851721525192e-03,4.433324647834524512e-05,3.375257074367254972e-05
8.500000000000000000e+02,2.343070491406251676e-06,5.157232862984528765e-06,2.211525663733482361e-02,2.915306761860847473e-02,1.626804150873795152e-04,1.887030293801217340e-06,1.550785265862941742e-03,7.644199766218662262e-03,2.121215919032692909e-03,3.541914702509529889e-05,3.768214810406789184e-05
9.000000000000000000e+02,1.910679657157743350e-06,5.023910034651635215e-06,2.203223109245300293e-02,2.910105325281620026e-02,1.729335199343040586e-04,2.072259803753695451e-06,1.420477754436433315e-03,8.701102808117866516e-03,2.670153509825468063e-03,3.296062277513556182e-05,0.000000000000000000e+00
9.500000000000000000e+02,2.119275904988171533e-06,4.154874659434426576e-06,2.125407941639423370e-02,2.891167625784873962e-02,1.691665966063737869e-04,5.228542704571736977e-06,1.106538809835910797e-03,8.696003817021846771e-03,2.835940103977918625e-03,9.572812996339052916e-05,1.699887652648612857e-04
1.000000000000000000e+03,3.631786512414691970e-06,8.543890544387977570e-06,2.098880149424076080e-02,2.879871800541877747e-02,1.488026755396276712e-04,2.083068466163240373e-06,1.306848833337426186e-03,7.001326885074377060e-03,2.163111697882413864e-03,4.221060589770786464e-05,1.189580216305330396e-04
1.050000000000000000e+03,2.062390649371081963e-06,6.395661330316215754e-06,2.019187621772289276e-02,2.841260470449924469e-02,1.491977309342473745e-04,3.161629820169764571e-06,1.114084268920123577e-03,7.464081980288028717e-03,2.635078039020299911e-03,4.734655522042885423e-05,3.833886808024544735e-07
1.100000000000000000e+03,1.952068032551323995e-06,4.425519364303909242e-06,1.957001350820064545e-02,2.738132327795028687e-02,1.667810429353266954e-04,2.420800683466950431e-06,1.237884629517793655e-03,9.445751085877418518e-03,1.984932459890842438e-03,5.380331640481017530e-05,0.000000000000000000e+00
1.150000000000000000e+03,5.744297141063725576e-06,9.482905625191051513e-06,1.933538913726806641e-02,2.759981527924537659e-02,1.579932722961530089e-04,1.205325474984419998e-06,9.652714943513274193e-04,9.470411576330661774e-03,2.316755708307027817e-03,2.564931855886243284e-05,2.447123733873013407e-06
1.200000000000000000e+03,2.719483745750039816e-06,6.700657650071661919e-06,1.872681826353073120e-02,2.700657956302165985e-02,1.490947179263457656e-04,1.266113144993141759e-06,9.998985333368182182e-04,7.845272310078144073e-03,2.891618525609374046e-03,4.637572419596835971e-05,0.000000000000000000e+00
1.250000000000000000e+03,2.701263383642071858e-06,5.568021606450201944e-06,1.847515814006328583e-02,2.706703729927539825e-02,1.332189276581630111e-04,1.438123376829025801e-06,1.022661570459604263e-03,7.005186285823583603e-03,2.050558570772409439e-03,3.168907278450205922e-05,0.000000000000000000e+00
1.300000000000000000e+03,2.194154603785136715e-06,6.409909019566839561e-06,1.751113869249820709e-02,2.623141184449195862e-02,1.230271736858412623e-04,4.464773155632428825e-06,1.088600489310920238e-03,5.356973968446254730e-03,2.084750216454267502e-03,4.829653698834590614e-05,5.908705134061165154e-06
1.350000000000000000e+03,1.268173377866332885e-06,4.840723704546689987e-06,1.697367429733276367e-02,2.565446496009826660e-02,1.231500355061143637e-04,1.569442247273400426e-06,8.261813782155513763e-04,7.173664402216672897e-03,1.657836604863405228e-03,2.183267315558623523e-05,0.000000000000000000e+00
1.400000000000000000e+03,9.827142548601841554e-07,3.591797394619788975e-06,1.683844998478889465e-02,2.537334896624088287e-02,1.212310526170767844e-04,8.525121302227489650e-07,7.937703630886971951e-04,7.178305648267269135e-03,1.662048976868391037e-03,1.854557194747030735e-05,1.936075022967997938e-06
